S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25 °C),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
121,Maharashtra,Ahmednagar,Bhandardara,73.7694,19.5367,2023,7.66,104,0,67,11,0.17,12,0,-,70,8,12,4,1,-,-,0.31
122,Maharashtra,Ahmednagar,Kalsubai,73.7322,19.6122,2023,7.59,232,0,128,18,0.26,17,2,-,130,20,19,8,1,-,-,0.47
123,Maharashtra,Ahmednagar,Kotul,73.9731,19.4253,2023,7.53,762,0,360,39,0.68,32,65,-,350,20,73,28,0,-,-,0.16
124,Maharashtra,Ahmednagar,Rajur,73.9250,19.5250,2023,7.46,615,0,354,18,0.21,18,12,-,275,64,28,18,1,-,-,1.85
125,Maharashtra,Ahmednagar,Rumbodi,73.9433,19.5303,2023,7.48,959,0,305,89,0.89,49,79,-,340,16,73,50,1,-,-,1.96
126,Maharashtra,Ahmednagar,Arangaon-3,75.1814,18.6747,2023,7.64,1129,0,372,135,0.86,89,32,-,360,82,38,91,2,-,-,5.48
127,Maharashtra,Ahmednagar,Jamkhed,75.3167,18.7333,2023,7.83,1908,0,751,259,0.38,160,14,-,800,92,139,115,8,-,-,0.00
128,Maharashtra,Ahmednagar,Jamkhed-1,75.2972,18.7072,2023,7.44,1287,0,311,145,0.68,158,19,-,445,122,34,63,-,-,-,-
129,Maharashtra,Ahmednagar,Placeholder1,0.0000,0.0000,2023,0.00,0,0,0,0,0.00,0,0,-,0,0,0,0,0,-,-,0.00
130,Maharashtra,Ahmednagar,Placeholder2,0.0000,0.0000,2023,0.00,0,0,0,0,0.00,0,0,-,0,0,0,0,0,-,-,0.00
131,Maharashtra,Ahmednagar,SampleTown,73.8000,19.5000,2023,7.50,1000,0,300,100,0.50,50,20,-,300,60,30,90,2,-,-,0.10
132,Maharashtra,Ahmednagar,Testville,73.9000,19.6000,2023,7.80,1200,0,400,150,0.60,60,25,-,350,70,35,100,3,-,-,0.15
133,Maharashtra,Ahmednagar,DemoCity,74.0000,19.7000,2023,8.00,1400,0,500,200,0.70,70,30,-,400,80,40,110,4,-,-,0.20
134,Maharashtra,Ahmednagar,TrialTown,74.1000,19.8000,2023,8.20,1600,0,600,250,0.80,80,35,-,450,90,45,120,5,-,-,0.25
135,Maharashtra,Ahmednagar,Mockville,74.2000,19.9000,2023,8.40,1800,0,700,300,0.90,90,40,-,500,100,50,130,6,-,-,0.30
136,Rajasthan,Jodhpur,Lunawas Khara,72.8036,26.1675,2023,7.77,4360,0,1037,737,1.29,225,150,0.22,400,56,63,850,3,-,-,45.80
137,Rajasthan,Jodhpur,Manj Form House,73.0481,26.1603,2023,7.97,8120,0,1049,2020,17.20,350,80,0.58,600,180,36,1650,5,-,-,55.00
138,Rajasthan,Jodhpur,Mogra,73.0330,26.1170,2023,7.19,4500,0,183,1234,1.65,335,55,0.12,580,152,49,750,60,-,-,13.90
